1,Lou,González,10000.000000,FirstClass,BA2491A,Aterrizado
2,Ulrike,Muñoz,25000.000000,FirstClass,IB0800A,Aterrizado
3,Brade,Rojas,20000.000000,FirstClass,MM0987B,En Horario
4,Kimbell,Díaz,50000.000000,FirstClass,BA2491A,Aterrizado
5,Sheelagh,Pérez,18000.000000,FirstClass,IB0800A,Aterrizado
6,Gayle,Soto,30000.000000,FirstClass,MM0987B,En Horario
7,Kimberlee,Contreras,33000.000000,FirstClass,BA2491A,Aterrizado
8,Henrieta,Silva,30000.000000,FirstClass,IB0800A,Aterrizado
9,Jeanine,Martínez,18000.000000,FirstClass,MM0987B,En Horario
10,Aggie,Sepúlveda,15000.000000,FirstClass,BA2491A,Aterrizado
11,Brandea,Morales,15000.000000,FirstClass,IB0800A,Aterrizado
12,Cordelie,Rodríguez,50000.000000,FirstClass,IB0800A,Aterrizado
13,Shel,López,50000.000000,FirstClass,MM0987B,En Horario
14,Bronnie,Fuentes,20000.000000,FirstClass,MM0987B,En Horario
15,Megen,Hernández,10000.000000,FirstClass,BA2491A,Aterrizado
16,Iver,Torres,12000.000000,FirstClass,BA2491A,Aterrizado
17,Ernesta,Araya,37000.000000,FirstClass,BA2491A,Aterrizado
18,Cirillo,Flores,50000.000000,FirstClass,MM0987B,En Horario
19,Park,Espinoza,30000.000000,FirstClass,MM0987B,En Horario
20,Bellanca,Valenzuela,15000.000000,FirstClass,BA2491A,Aterrizado
21,Bobbye,Castillo,15000.000000,FirstClass,BA2491A,Aterrizado
22,Eugene,Tapia,50000.000000,FirstClass,BA2491A,Aterrizado
23,Johnny,Reyes,33000.000000,FirstClass,MM0987B,En Horario
24,Reagen,Gutiérrez,42000.000000,FirstClass,MM0987B,En Horario
25,Braden,Castro,25000.000000,FirstClass,MM0987B,En Horario
26,Karim,Pizarro,25000.000000,FirstClass,MM0987B,En Horario
27,Anthea,Álvarez,42000.000000,FirstClass,MM0987B,En Horario
28,Doro,Vásquez,33000.000000,FirstClass,IB0800A,Aterrizado
29,Gaye,Sánchez,37000.000000,FirstClass,IB0800A,Aterrizado
30,Toby,Fernández,15000.000000,FirstClass,IB0800A,Aterrizado
31,Franny,Ramírez,15000.000000,FirstClass,IB0800A,Aterrizado
32,Katey,Carrasco,42000.000000,FirstClass,MM0987B,En Horario
33,Earle,Gómez,10000.000000,FirstClass,BA2491A,Aterrizado
34,Redd,Cortés,42000.000000,FirstClass,BA2491A,Aterrizado
35,Jehanna,Herrera,50000.000000,FirstClass,BA2491A,Aterrizado
36,Cristie,Núñez,10000.000000,FirstClass,BA2491A,Aterrizado
37,Stefa,Jara,42000.000000,FirstClass,BA2491A,Aterrizado
38,Roda,Vergara,25000.000000,FirstClass,MM0987B,En Horario
39,Alfredo,Rivera,10000.000000,FirstClass,MM0987B,En Horario
40,Sydney,Figueroa,10000.000000,FirstClass,MM0987B,En Horario
41,Brnaba,Riquelme,30000.000000,FirstClass,MM0987B,En Horario
42,Ame,García,50000.000000,ExecutiveClass,BA2491A,Aterrizado
43,Bradney,Miranda,25000.000000,ExecutiveClass,BA2491A,Aterrizado
44,Margarete,Bravo,50000.000000,ExecutiveClass,BA2491A,Aterrizado
45,Nikoletta,Vera,50000.000000,FirstClass,MM0987B,En Horario
46,Lonnard,Molina,50000.000000,FirstClass,IB0800A,Aterrizado
47,Raine,Vega,30000.000000,FirstClass,IB0800A,Aterrizado
48,Noella,Campos,15000.000000,FirstClass,IB0800A,Aterrizado
49,Dagmar,Sandoval,25000.000000,FirstClass,IB0800A,Aterrizado
50,Carroll,Orellana,42000.000000,FirstClass,IB0800A,Aterrizado
51,Marion,Cárdenas,50000.000000,FirstClass,IB0800A,Aterrizado
52,Carline,Olivares,12000.000000,FirstClass,IB0800A,Aterrizado
